title;Dish;Rating;Description;Price
Mehrnaz;Dal Tadaka;;Dal cooked to perfection and tempered with aromatic spices, creating a comforting and flavorful dal tadka.;₹219
Mehrnaz;Dal Fry;;Dal cooked to perfection, tempered with aromatic spices, creating a hearty and flavorful Indian dish.;₹219
Mehrnaz;Dal Butter Fry;;Dal butter fry is a delightful and savory dish that combines the rich flavours of lentils with the indulgence of butter.;₹229
Mehrnaz;Egg Curry;4.37;Rich and aromatic egg curry simmered in a luscious blend of spices and tomato sauce.;₹209
Mehrnaz;Butter Egg Curry;3.83;Rich and aromatic egg curry simmered in a luscious blend of spices, tomato sauce and butter.;₹219
Mehrnaz;Chicken Masala;3.94;Aromatic and rich chicken masala, a tantalizing dish blending tender chicken with a harmonious medley of Indian spices and flavors.;₹299
Mehrnaz;Chicken Kali Mirch;3.96;A fragrantly spiced dish featuring tender chicken cooked in a rich black pepper infused gravy.;₹256
Mehrnaz;Chicken Korma;3.99;Chicken korma cooked with rich and aromatic Indian dish featuring tender chicken cooked in spiced gravy.;₹249
Mehrnaz;Butter Chicken;3.32;Rich and creamy tomato based curry featuring tender pieces of marinated chicken, a classic favorite in Indian cuisine.;₹264
Mehrnaz;Chicken Kadhai;;Aromatic and rich chicken kadhai, a classic Indian dish with tender chicken and vibrant spices cooked in a traditional wok like kadhai.;₹269
Mehrnaz;Chicken Stew;;Purely desi style whole ingredient medium spicy of pure chicken meat.;₹264
Mehrnaz;Chicken Do Pyaaza;;Tender chicken cooked with a generous amount of onion, creating a savory and aromatic Indian dish known as chicken do pyaaza.;₹249
Mehrnaz;Boneless Chicken Boti;3.73;Chicken boti are simply bite sized chicken cubes marinated with Indian spices.;₹249
Mehrnaz;Chicken Handi;;Tender chicken cooked in aromatic handi, brimming with regional spices and flavors.;₹269
Mehrnaz;Fish Curry;4.39;Aromatic fish curry simmered in a rich blend of spices, delivering a tantalizing burst of flavors.;₹269
Mehrnaz;Bengali Style Fish Curry;4.33;Aromatic fish curry simmered in a rich blend of spices, delivering a tantalizing burst of flavors.;₹279
Mehrnaz;Mutton Korma;3.35;Hearty and tender mutton cooked in rich and aromatic gravy, a delectable dish for meat lovers.;₹249
Mehrnaz;Mutton Rogan Josh;3.63;Aromatic mutton rogan josh gravy, a classic Kashmiri dish simmered with tender meat in a flavourful blend of spices and yogurt.;₹279
Mehrnaz;Mutton Do Pyaaza;;Aromatic mutton do pyaza gravy, featuring tender pieces of meat cooked with an abundance of onions for a flavourful Indian delicacy.;₹269
Mehrnaz;Mutton Kali Mirch;;Tender mutton cooked in rich and aromatic black pepper gravy, a delectable blend of flavors.;₹269
Mehrnaz;Mutton Kadhai;;Hearty and tender mutton cooked in rich and aromatic gravy, a delectable dish for meat lovers.;₹269
Mehrnaz;Mutton Boti;3.64;Tender mutton boti [cubed pieces] immersed in a rich and aromatic gravy, a delectable indulgence for meat lovers.;₹330
Mehrnaz;Mutton Handi;;Tender mutton cooked in aromatic handi, brimming with regional spices and flavours.;₹279
Mehrnaz;Mutton Stew;;A rich and flavorful mutton gravy that will tantalize your taste buds with its succulent and tender meat.;₹269
Mehrnaz;Mushroom Mini Thali;3.88;Mushroom Masala+3 Tawa Roti/2 Paratha/4 Rumali Roti+Salad+Achaar [Subject to Availability];₹239
Mehrnaz;Paneer Mini Thali;3.76;Paneer gravy+2 Paratha/4 Rumali/ Tawa Roti (3pcs) /tawa butter roti (3pcs)+Salad [Subject to Availability] +achaar;₹239
Mehrnaz;Dal Tadka Mini Thali;;Dal Tadka+Tawa Roti (3pcs )/tawa butter roti (3pcs) +Salad+Achaar [Subject to Availability];₹219
Mehrnaz;Egg Mini Thali;4.09;Egg Curry [1 Egg]+2 Paratha/4 Rumali/ Tawa Roti (3pcs) /tawa butter roti (3pcs)+Salad [Subject to Availability];₹219
Mehrnaz;Chicken Mini Thali;3.82;chicken curry (1 pcs) +2 Paratha/4 Rumali/ Tawa Roti (3pcs) /tawa butter roti (3pcs)+Salad [Subject to Availability];₹249
Mehrnaz;Mutton Mini Thali;3.61;Mutton Curry [1 Piece]+2 Paratha/4 Rumali/3 Tawa Roti/3 Tawa Butter Roti+Salad [Subject to Availability];₹269
Mehrnaz;Veg Thali;3.56;Butter Paneer Masala/Paneer Korma+2 Paratha/4 Rumali/3 Tawa Roti/3 Tawa Butter Roti+Salad+Dry Sabji+Steamed Rice [Subject to Availability];₹289
Mehrnaz;Chicken Thali;4.31;Chicken Masala/Chicken Korma [1 Piece]+2 Paratha/4 Rumali/3 Tawa Roti/3 Tawa Butter Roti+Chicken Biryani [1 Piece]+Onion+Raita+Chutney;₹289
Mehrnaz;Mutton Thali;3.8;mutton curry (1 pcs) +2 Paratha/4 Rumali/ Tawa Roti (3pcs) /tawa butter roti (3pcs)+Salad [Subject to Availability]+ chicken biryani (1pc)+raita;₹299
Mehrnaz;Veg Deluxe Thali;3.22;Gravy [Kadhai Paneer/Paneer Butter Masala/Mushroom Masala+2 Paratha/4 Rumali/3 Tawa Roti/3 Tawa Butter Roti+Dal+Dry Sabji+Salad+Steamed Rice+Raita+Achar+Gulab Jamun [1 Piece]+Coke Soft Beverage [250 ml] [Subject to Availability];₹329
Mehrnaz;Chicken Deluxe Thali;;Gravy [Chicken Korma/Chicken Masala/Butter Chicken]+2 Paratha/4 Rumali/3 Tawa Roti/3 Tawa Butter Roti+Chutney+Chicken Tikka [1 Piece]+Salad+Chicken Biryani+Raita+Achar+Gulab Jamun [1 Piece]+Coke Soft Beverage [250 ml] [Subject to Availability];₹369
Mehrnaz;Mutton Deluxe Thali;;Gravy [Mutton Korma/Mutton Do Pyaaza]+2 Paratha/4 Rumali/3 Tawa Roti3 /Tawa Butter Roti+Chutney+Chicken Tikka [1 Piece]+Salad+Mutton Biryani+Raita+Achar+Gulab Jamun [1 Piece]+Coke Soft Beverage [250 ml] [Subject to Availability];₹389
Mehrnaz;Shami Kabab Combo;3.89;Shami Kabab [2 Pieces]+2 Paratha/4 Rumali Roti+Chutney+Onion;₹249
Mehrnaz;Galawati Kabab Combo;4.08;Galouti Kabab [2 Pieces]+2 Paratha+Chutney+Onion;₹239
Mehrnaz;Shami Kabab Biryani Combo;4.27;Shami Kabab[2 Pieces]+2 Paratha/4 Rumali Roti+Chicken Biryani [1 Piece]+Onion+Raita;₹299
Mehrnaz;Galawat Kabab Biryani Combo;3.69;Galawati Kabab [2 Pieces]+2 Paratha/4 Rumali Roti+Chicken Biryani [2 Pieces]+Onion+Raita;₹299
Mehrnaz;Veg Noodles with Paneer Chilli Gravy Combo;4.85;A delectable chinese combo featuring flavorful noodles tossed with succulent paneer in a luscious and savory gravy.;₹269
Mehrnaz;Veg Noodles with Veg Manchurian Combo;;A delightful blend of noodles and succulent veg manchurian, offering a flavorful and satisfying chinese combo.;₹269
Mehrnaz;Veg Fried Rice with Paneer Chilli Gravy Combo;;A delightful fusion of flavours featuring fragrant fried rice and succulent paneer smothered in a delectable Chinese style gravy.;₹269
Mehrnaz;Veg Fried Rice with Veg Manchurian Combo;;A delectable combination of flavorful veg fried rice and succulent veg manchurian, a delightful chinese combo that will leave you craving for more.;₹269
Mehrnaz;Noodles with Chilli Chicken Gravy Combo;;Indulge in a delectable chinese combo of tender chicken in a flavorsome gravy, served with luscious noodles.;₹299
Mehrnaz;Noodles with Chilli Chicken Wings Gravy Combo;;Delicious chinese combo featuring tender chicken wings in a flavorful gravy, served with noodles for a satisfying meal.;₹299
Mehrnaz;Noodles with Chicken Manchurian Combo;;A delectable combination of succulent chicken manchurian paired with savory noodles, creating a delightful chinese combo.;₹299
Mehrnaz;Fried Rice with Chilli Chicken Gravy Combo;;Savor the perfect blend of flavors and textures with our delectable chinese combo featuring flavorful fried rice and succulent chili chicken.;₹299
Mehrnaz;Fried Rice with Chilli Chicken Wings Combo;;Indulge in a captivating blend of fragrant fried rice and succulent chicken wings, perfectly combining chinese flavors in one irresistible combo.;₹299
Mehrnaz;Fried Rice with Chicken Manchurian Combo;;A delectable combination of flavors and textures, this chinese combo boasts succulent chicken manchurian served alongside fragrant fried rice.;₹299
Mehrnaz;Steamed Rice;4.41;Light, fluffy grains cooked to perfection, a versatile and essential staple.;₹139
Mehrnaz;Jeera Rice;;Fragrant basmati rice infused with the earthy warmth of cumin seeds, a delightful Indian side dish.;₹149
Mehrnaz;Biryani Rice;4.38;Biryani rice is basically a spiced rice, that is, basmati rice cooked with choicest of spices and finished with some fried onions, nuts and fresh herbs.;₹99
Mehrnaz;Double Egg Roll;4.12;Egg is cooked till it gets golden brown and wrapped in a fresh paratha, drizzled with chopped onion, sauces, chaat masala.;₹99
Mehrnaz;Shami Kebab Roll;4.52;Shami Kabab wrapped in paratha with chutney and onion.;₹119
Mehrnaz;Galawat Roll;4.37;Galawat kabab wrapped in paratha with chutney and onion.;₹119
Mehrnaz;Chicken Roll;4.28;Chicken roll is a delectable North Indian recipe made using all purpose flour, stir fried chicken, yoghurt and a variety of vegetable rolled into paratha.;₹139
Mehrnaz;Veg Noodles;;Veg noodles are stir-fried noodles made with loads of mixed vegetables and seasoned with soya sauce, ginger, garlic and celery.;₹219
Mehrnaz;Veg Garlic Noodles;;This Asian Chinese style garlic noodles recipe includes noodles cooked with dry red chillies and red chilli sauce.;₹229
Mehrnaz;Veg Schezwan Noodles;4.2;Schezwan noodles made with vegetables and homemade schezwan sauce.;₹239
Mehrnaz;Chicken Noodles;;Chicken noodles is a popular Indo Chinese recipe made with chicken, noodles, vegetables, garlic tossed with sauces.;₹249
Mehrnaz;Chicken Garlic Noodles;;Chicken garlic noodles is a popular Indo Chinese recipe made with chicken, noodles, vegetables, garlic tossed with sauces.;₹259
Mehrnaz;Chicken Schezwan Noodles;;Indulge in the bold and spicy flavors of szechwan with savory chicken infused noodles, a culinary delight that packs a satisfying punch.;₹269
Mehrnaz;Veg Fried Rice;;Veg fried rice recipe is made with a hearty mixed of fresh vegetables, green onions, seasonings and spices for an incredibly flavorful fried rice dish.;₹209
Mehrnaz;Paneer Fried Rice;;Veg fried rice recipe is made with a hearty mixed of fresh vegetables, paneer, green onions, seasonings and spices for an incredibly flavorful fried rice dish.;₹239
Mehrnaz;Egg Fried Rice;;Egg fried rice recipe is made with a hearty mixed of egg, fresh vegetables, green onions, seasonings and spices for an incredibly flavorful fried rice dish.;₹219
Mehrnaz;Chicken Egg Fried Rice;4.4;Chicken egg fried rice recipe is made with a hearty mixed of fresh chicken, egg, fresh vegetables, green onion, seasonings and spices for an incredibly flavorful fried rice dish.;₹249
Mehrnaz;Chicken Fried Rice;;Chicken fried rice recipe is made with a hearty mixed of fresh chicken, vegetables, green onion, seasonings and spices for an incredibly flavorful fried rice dish.;₹229
Mehrnaz;KFC Chicken Popcorn;3.98;Chicken popcorn are bite sized chunks of chicken with a spicy rub, coated with flavoured breadcrumbs.;₹149
Mehrnaz;KFC Chicken Lollipop;4.14;Chicken lollipop is a popular Indo-Chinese appetizer where a frenched chicken drumette is marinated and then batter fried or baked until crisp.;₹179
Mehrnaz;KFC Chicken Wings;4.46;Fried chicken wings are marinated in spices, then coated in seasoned flour and deep fried to golden brown perfection.;₹149
Mehrnaz;Mughlai Paratha;4.08;Mughlai paratha is a popular stuffed flatbread in indian cuisine.;₹29
Mehrnaz;Gulab Jamun [2 Pieces];4.26;Gulab jamun is a dessert based on milk solids that are kneaded into a dough, shaped into balls and deep fried in ghee.;₹89
Mehrnaz;Gulab Jamun [1 Piece];3.88;Gulab jamun is an Indian dessert of fried dough balls that are soaked in a sweet, sticky sugar syrup;₹45
Mehrnaz;Thums Up Soft Beverage [330 ml];;;₹79
Mehrnaz;Mineral Water [1 litre];;Mineral water from natural springs commonly has a high content of calcium carbonate, magnesium sulfate, potassium, and sodium sulfate.;₹30
Mashup Cafe & Bar;Tandoori Lamb N Chicken Kebabs;;Lamb kakori kebab, lamb seekh kebab, tandoori chicken, chicken malai tikka, lehsuni chicken tikka;₹999
Mashup Cafe & Bar;Tandoori Antidote Veg Kebabs;;Veg kaju matar seekh, corn malai tikka, tandoori fruits, paneer tikka, kasundi cheese broccoli;₹899
Mashup Cafe & Bar;By The Beach Seafood Platter;;Lehsun tulsi jhinga, chatpata kataifi fried prawns, tandoori pomfret, hari mirch fish tikka, amritsari fish fry;₹1499
Mashup Cafe & Bar;Mashup’S Cheese Platter;;Sumac labneh. all, herb labneh ball, cheddar, processed cheese,pickles, assorted fruits, assorted nuts, melba toast;₹449
Mashup Cafe & Bar;Mashup’S Summer Salad;;Mesclun greens, olives, orange segments, bean sprouts, sauté mushroom, mixed lentils, green beans, beetroot, balsamic dressing, candied walnuts, cottage cheese crumble;₹329
Mashup Cafe & Bar;Fattoush;;Mesclun greens, quinoa tabbouleh, bell peppers, cucumber, cherry tomato, chickpeas, pomegranate vinaigrette, crispy kuboos, pomegranate;₹299
Mashup Cafe & Bar;Farmer’S Green Salad;;(Onion slices, tomato, carrots,cucumber, lemon, green chilli);₹249
Mashup Cafe & Bar;Twin Stuffed Mushrooms;;Mushrooms stuffed with cheese & mirch ka achar, coated in tandoori masala with bell peppers & cooked in tandoor, drizzled with cheese sauce;₹445
Mashup Cafe & Bar;Kacche Kele Ke Shammi;;Chunky pan soft pan seared shammi kebabs made of raw banana, seared with banana chips, lehsuni raita & laccha pyaaz;₹395
Mashup Cafe & Bar;Soya Boti Lehsun Ghee Roast;;Soya chunks cooked in special ghee roast masala with whole garlic chunks topped with crispy salli aloo;₹475
Mashup Cafe & Bar;Sindhi Aloo Tuk 2.0;;Baby potatoes smashed and deep fried with indian spices, layered with cheddar cheese sauce and topped with mustard chilli pickle;₹375
Mashup Cafe & Bar;Roasted Mock Meat Skewers 3 Ways;;Tandoori soya chaap marinated in 3 different marinades achari, creamy & peppery, kasundi & chilli served with chutney & sirka pyaaz;₹475
Mashup Cafe & Bar;Galawat Kebabs Trio, The Shakahari Way;;Melt in mouth kebabs made of mushrooms, spinach & rajma served with warqi paratha, cucumber raita, mint chutney and pickled onions;₹425
Mashup Cafe & Bar;Corn Mirch Matar Malai Tart;;Corn & green peas cooked along with green chilli in a cashew & cream based sauce, filled in a savoury tart;₹425
Mashup Cafe & Bar;Cheese Jalapeno Cigar Rolls;;Combination of 3 white cheese & jalapenos with herbs filled in spring roll sheet and fried till golden brown & crisp, served with spicy dip;₹375
Mashup Cafe & Bar;Mushroom, Spinach & Cheese Poppers;;A mixture of shrooms, spinach and cheese with a hint of green chilli coated and crumb fried till golden;₹425
Mashup Cafe & Bar;Hyderabadi Lukhmi;;Assorted vegetable mix along with paneer & cheese stuffed in lukhmi and deep fried, served with chutney & sirka pyaaz;₹375
Mashup Cafe & Bar;Bhatti Ka Kukkad;;The classic grilled tandoori chicken with bone, served with sirka pyaaz, mint chutney, roti crisp;₹595
Mashup Cafe & Bar;Make Me Melt Seekh;;Chicken seekh kebab filled with cheese & double cooked in a pan and coated with in house cheese sauce, served with lacha pyaz & chutney;₹575
Mashup Cafe & Bar;Kalmi Kebab;;Inspired by mughlai cuisine, succulent and juicy chicken legs marinated with saffron, yoghurt & spices, charred in tandoor, served with sirka pyaaz & chutney;₹555
Mashup Cafe & Bar;Curried Chicken Spring Rolls;;Chicken cooked in madras curry powder along with red chilli, asian herbs filled in a spring roll sheet & crispy fried till golden, served with house dip;₹475
Mashup Cafe & Bar;Seared Chermoula Chicken Thighs;;Pan seared chermoula marinated chicken, served with skinny fries & hummus;₹525
Mashup Cafe & Bar;Chicken Tikka 3 Ways;;Trio of chicken tikka includes, lehsuni, kaffir lime & peri peri, served with chutney & sirka pyaaz;₹625
Mashup Cafe & Bar;Chatpata Masala Crispy Wrapped Prawns;;Prawns marinated in indian spices, wrapped with thinly sliced kataifi and deep fried till golden and crispy, served with assorted dips;₹695
Mashup Cafe & Bar;Stuffed Tandoori Chicken Roulade;;Chicken breast marinated in tandoori masala, stuffed with cheese, boiled egg, skewered and cooked in tandoor, sliced and served over a garlic naan with lacha pyaz and chutney);₹595
Mashup Cafe & Bar;Silbattey Ki Shammi;;Chunky and musky pate of lamb & chana dal along with whole spices, seared on a griddle with ghee, served with warqi paratha, chutney & lacha pyaz;₹645
Mashup Cafe & Bar;Cover Ur Fries;;Cheese and jalapeno / peri peri/  salt & pepper/ truffled mushroom & cheese/ 3 cheese baked;₹319
Mashup Cafe & Bar;Let’S Nacho Nacho;;Cheese and jalapeno/ peri peri/ classic salted/ truffled mushroom & cheese/ 4 cheese baked, served with guacamole, salsa & sour cream on side;₹395
Mashup Cafe & Bar;Crispy Buffalo Chicken Wings;;Schezwan/ creamy and cheesy/ korean chilli;₹525
Mashup Cafe & Bar;Wok Tossed (Veg);;;₹395
Mashup Cafe & Bar;Wok Tossed (Non Veg);;;₹425
Mashup Cafe & Bar;Chicken Popcorn;;Peri peri, malabari, korean chilli;₹425
Mashup Cafe & Bar;Caprese (Toast With Fries);;;₹315
Mashup Cafe & Bar;Cheese Corn & Jalapeno (Toast With Fries);;;₹325
Mashup Cafe & Bar;Cheese Chilli (Toast With Fries);;;₹325
Mashup Cafe & Bar;Truffled Mushroom And Cheese;;;₹345
Mashup Cafe & Bar;Pesto Chicken & Cheese (Toast With Fries);;;₹395
Mashup Cafe & Bar;Minced Lamb And Chilli (Toast With Fries);;;₹425
Mashup Cafe & Bar;Buttermilk Crispy Chicken Strips;;Peri peri, malabari, korean chilli;₹475
Mashup Cafe & Bar;Not So Common Crispy Corn;;Classic crispy fried corn served with a topping of crackling spinach;₹325
Mashup Cafe & Bar;Pulled Lamb Taco;;Soft shell tacos stuffed with lettuce/ bell pepper, cheddar, jalapenos served along with sour cream, salsa & guacamole.;₹465
Mashup Cafe & Bar;Shin Hargao Dimsum;;;₹445
Mashup Cafe & Bar;Crispy Wontons In Sesame Chilli Oil Broth (Veg);;;₹395
Mashup Cafe & Bar;Crispy Korean Chicken Bao;;;₹395
Mashup Cafe & Bar;Paneer Firecracker Bao;;;₹375
Mashup Cafe & Bar;Spicy Sliced Lamb & Peanut Bao;;;₹425
Mashup Cafe & Bar;Avocado Uramaki (Inside Out);;Avocado inside out with togarashi seasoning, pickled vegetable wrapped in nori sheets and seasoned sushi rice, topped with house sauce, served with wasabi and soy;₹545
Mashup Cafe & Bar;The 65 Sushi (Chicken);;The indo-japan fusion of two food cultures;₹545
Mashup Cafe & Bar;The 65 Sushi (Cauliflower 65);;The indo-japan fusion of two food cultures;₹565
Mashup Cafe & Bar;Fried Rice;;;₹345
Mashup Cafe & Bar;Pan Fried Noodles;;;₹365
Mashup Cafe & Bar;Tossed Noodles;;;₹345
Mashup Cafe & Bar;Pad Thai Noodles;;;₹345
Mashup Cafe & Bar;Veg In Sauce;;;₹395
Mashup Cafe & Bar;Chicken In Sauce;;;₹470
Mashup Cafe & Bar;Lamb In Sauce;;;₹490
Mashup Cafe & Bar;Fish In Sauce;;;₹520
Mashup Cafe & Bar;Prawns In Sauce;;;₹550
Mashup Cafe & Bar;Mee Goreng;;Vietnamese style noodles tossed with peanut sauce, served with sunny side up, pickled veg, chicken satay, rice cracker;₹425
Mashup Cafe & Bar;Nasi Goreng;;Vietnamese style fried rice tossed with peanut sauce, served with sunny side up, pickled veg, chicken satay, rice cracker;₹425
Mashup Cafe & Bar;Crispy Pulled Chicken Burger;;(Guacamole, cheddar sauce, crispy juicy patty, nachos, jalapeno tomato relish);₹425
Mashup Cafe & Bar;Chicken Parmesan Schnitzel Burger;;Burger (lettuce, thinly sliced crispy chicken topped with tomato relish, parmesan, mozzarella then baked and drizzled with basil pesto);₹395
Mashup Cafe & Bar;Spiced Cheese, Mutton Duplex Burger;;Lettuce, smashed mutton patties cooked on a griddle, dipped in cheese sauce, topped with jalapeno tomato relish;₹565
Mashup Cafe & Bar;The Crispy Veggie Melt;;(In house mixed vegetable patty, tomato, lettuce, cucumber, melting cheese, chipotle chilli drizzle);₹385
Mashup Cafe & Bar;Epinarda;;(Spicy cream cheese & sundried tomato spread, whole smashed garlic confit, saute shrooms, spinach, basil pesto in grilled focaccia);₹485
Mashup Cafe & Bar;Mashup’S Club Sandwich (Veg);;Sandwich (triple stacked layers stuffed with veg/ chicken & double omelette in multigrain bread).;₹445
Mashup Cafe & Bar;Mashup’S Club Sandwich (Chicken);;Sandwich (triple stacked layers stuffed with veg/ chicken & double omelette in multigrain bread).;₹545
Mashup Cafe & Bar;Hog On Margherita;;;₹425
Mashup Cafe & Bar;Quattro Formaggio (4 Cheese);;4 Cheese;₹455
Mashup Cafe & Bar;Chicken Tikka Pizza;;(Chicken tikka, green chilli, bell pepper, mozzarella;₹495
Mashup Cafe & Bar;Paneer Tikka Pizza;;Paneer tikka, green chilli, bell pepper, mozzarella;₹475
Mashup Cafe & Bar;Greco Pizza;;(Smoked chicken & zaatar, mozzarella);₹485
Mashup Cafe & Bar;Asia Pizza;;(Chilli paneer, capsicum, spring onion, mozzarella, fried garlic);₹495
Mashup Cafe & Bar;Keema Pizza;;(Mutton keema, jalapeno, mozzarella, brown onion, mint);₹575
Mashup Cafe & Bar;Ferrari Pizza;;(Lamb pepperoni, mozzarella);₹525
Mashup Cafe & Bar;Five Pepper & Feta Pizza;;(Trio bell pepper, jalapeno, sliced chilli);₹465
Mashup Cafe & Bar;Make Your Own Pizza (Veg);;;₹525
Mashup Cafe & Bar;Make Your Own Pizza (Chicken);;;₹575
Mashup Cafe & Bar;Make You Own Pastas (Veg);;;₹425
Mashup Cafe & Bar;Make You Own Pastas (Non Veg);;;₹485
Mashup Cafe & Bar;Make You Own Risottos (Veg);;;₹425
Mashup Cafe & Bar;Make You Own Risottos (Non Veg);;;₹485
Mashup Cafe & Bar;Make You Own Lasagnas (Veg);;;₹425
Mashup Cafe & Bar;Make You Own Lasagnas (Non Veg);;;₹485
Mashup Cafe & Bar;Pesto & Asparagus Risotto With Sundried Tomato, Buratta & Pine Nuts;;;₹495
Mashup Cafe & Bar;Oven Roasted Vegetable Lasagna With Cheese Foam & Basil Dust;;;₹475
Mashup Cafe & Bar;Laal Maas Keema Lasagna With Cheese Sauce Foam & Basil Dust;;;₹595
Mashup Cafe & Bar;Double Pesto Chicken Lasagna With Cheese Sauce Foam & Basil Dust;;;₹525
Mashup Cafe & Bar;Dal Makhni;;Black lentils with kidney beans cooked over tandoor overnight then simmered in rich creamy textured tomato and butter gravy for a irresistible bite;₹445
Mashup Cafe & Bar;Dal;;;₹375
Mashup Cafe & Bar;Nostalgia Revived;;;₹455
Mashup Cafe & Bar;Dhaba Murgh Makhanwala (Smokey);;Soft charred chicken tikkas simmered in rich creamy textured tomato and butter gravy served in different ways one better than the other as per choice;₹565
Mashup Cafe & Bar;Dhaba Murgh Makhanwala (Burrata);;Soft charred chicken tikkas simmered in rich creamy textured tomato and butter gravy served in different ways one better than the other as per choice;₹675
Mashup Cafe & Bar;Zucchini Mawa Kofta In Lehsuni Palak;;Zucchini fritters stuffed with mawa and nuts, served with in spinach sauce tempered with brown garlic, topped with cream and rogan;₹495
Mashup Cafe & Bar;Paneer Hyderabadi;;Cottage cheese cooked with roasted tomato sauce and smoky whole masala with hyderabadi guntur chillies, garnished with cream;₹475
Mashup Cafe & Bar;Paneer Lababdar Mille Feuille.;;Cottage cheese layered with cheese and chutney, served  in a chunky and creamy tomato based  gravy, topped with micro greens and fenugreek powder;₹495
